# Converted from: Domain Shortlist — Accessible Ai _ Accessible Intelligence.docx

Domain Shortlist — Accessible AI / Accessible Intelligence

Working shortlist captured from InstantDomain/GoDaddy screens you shared. Prices shown are first‑year indications from those screenshots.

✅ Accessible AI Variants (tracked)

Group

Labs

Systems

Tech

✅ Accessible Intelligence Variants (newly added)

Group

Labs

Systems

Tech

Bundling / Defensive Options (FYI)

Many results showed cross‑promo bundles for .net / .info / .xyz / .store at a discount. Not required; just noted.

If we plan multi‑brand or future‑proofing, consider grabbing the .com + .ai pair at minimum, then add .io where developer‑facing.

Next actions (toggle when done)

Pick final namespace (AI vs Intelligence) per segment (Group, Labs, Systems, Tech)

Register priority core trio(s)

Decide on defensive registrations (.net/.org or geo/vertical)

Point DNS to holding page / brand splash

Domain | Status | Price (yr 1) | Notes

accessibleaigroup.com | Available | $11.99 | Standard .com

accessibleaigroup.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleaigroup.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleailabs.com | Available | $11.99 | Standard .com

accessibleailabs.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleailabs.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleaisystems.com | Available | $11.99 | Standard .com

accessibleaisystems.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleaisystems.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleaitech.com | Available | $11.99 | Standard .com

accessibleaitech.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleaitech.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleintelligencegroup.com | Available | $11.99 | Seen listed alongside other “accessibleintelligence*” names

accessibleintelligencegroup.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleintelligencegroup.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleintelligencelabs.com | Available | $11.99 | Confirmed on its results page

accessibleintelligencelabs.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleintelligencelabs.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleintelligencesystems.com | Available | $11.99 | Confirmed on its results page

accessibleintelligencesystems.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleintelligencesystems.io | Available | $59.99 | Standard .io

Domain | Status | Price (yr 1) | Notes

accessibleintelligencetech.com | Available | $11.99 | Confirmed on its results page

accessibleintelligencetech.ai | Available | $49.99 | 1st yr with 2‑yr term

accessibleintelligencetech.io | Available | $59.99 | Standard .io
